market,latest_date,latest_price,p7d_ago,p30d_ago
Arakalgud APMC,2024-11-20,20000.0,14000.0,14000.0
Arasikere APMC,2025-02-28,19900.0,28000.0,15000.0
Athani APMC,2022-12-27,10000.0,10000.0,10000.0
Bangalore APMC,2025-02-21,30000.0,30000.0,30000.0
Bangarpet APMC,2025-12-10,30000.0,24000.0,24000.0
Bantwala APMC,2026-02-20,31000.0,31000.0,35000.0
Belthangdi APMC,2025-10-23,5700.0,6476.0,6130.0
Belur APMC,2025-02-05,22000.0,27000.0,20000.0
Bhadravathi APMC,2026-02-23,40000.0,27000.0,22000.0
Chamaraj Nagar APMC,2026-02-24,18000.0,18000.0,23000.0
Channagiri APMC,2026-01-16,20000.0,27000.0,18000.0
Channapatana APMC,2025-09-25,25000.0,25000.0,12500.0
Channarayapatna APMC,2026-02-23,20000.0,24000.0,25000.0
Chickkaballapura APMC,2026-02-21,18000.0,17000.0,17000.0
Chikkamagalore APMC,2025-08-08,4000.0,2500.0,2500.0
Chintamani APMC,2026-02-19,20000.0,21000.0,22000.0
Davangere APMC,2026-02-19,20000.0,20000.0,20000.0
Dharwar APMC,2022-12-14,10000.0,13000.0,13000.0
Doddaballa Pur APMC,2026-02-16,24000.0,17000.0,17000.0
Gubbi APMC,2023-12-12,15000.0,10000.0,10000.0
Gundlupet APMC,2025-12-12,19000.0,25000.0,30000.0
Harihara APMC,2025-09-09,30000.0,14000.0,14000.0
Hassan APMC,2026-02-23,20000.0,30000.0,30000.0
Hirekerur APMC,2025-08-13,16000.0,14000.0,14000.0
Hiriyur APMC,2026-02-19,25000.0,25000.0,25000.0
Holalkere APMC,2026-02-07,25000.0,29740.0,27500.0
Honnali APMC,2026-02-11,42000.0,41000.0,31000.0
Hosadurga APMC,2024-11-27,20000.0,22000.0,15000.0
Hubli (Amaragol) APMC,2026-02-24,27000.0,22000.0,28000.0
Huliyar APMC,2025-07-25,8600.0,10000.0,23580.0
Hungund APMC,2022-12-31,9000.0,9000.0,9000.0
Hunsur APMC,2025-12-09,20000.0,22000.0,3300.0
K.R. Pet APMC,2026-02-13,25000.0,33000.0,30000.0
K.R.Nagar APMC,2025-10-28,3200.0,2700.0,2700.0
Kadur APMC,2024-11-15,21000.0,14000.0,14000.0
Kolar APMC,2025-11-19,25000.0,28000.0,28000.0
Koppa APMC,2026-02-20,6000.0,5800.0,5800.0
Kumta APMC,2026-02-19,42781.0,42852.0,39437.0
Kundapura APMC,2025-07-05,40000.0,10000.0,10000.0
Kunigal APMC,2024-07-29,15500.0,15500.0,17500.0
Maddur APMC,2025-10-20,24500.0,34500.0,32500.0
Madhugiri APMC,2024-12-09,16000.0,19000.0,19000.0
Malavalli APMC,2025-10-13,19000.0,19000.0,19000.0
Malur APMC,2025-09-15,20000.0,28000.0,28000.0
Mandya APMC,2021-04-19,4050.0,4050.0,4050.0
Mangalore APMC,2026-02-21,28000.0,28000.0,28000.0
Manvi APMC,2023-11-06,12000.0,12000.0,12000.0
Mysore (Bandipalya) APMC,2025-11-05,20000.0,25000.0,33000.0
Nagamangala APMC,2025-02-24,20000.0,20000.0,25000.0
Nanjangud APMC,2025-01-13,11000.0,24000.0,24000.0
Nippani APMC,2024-09-06,16000.0,16000.0,19000.0
Pandavapura APMC,2025-10-30,25000.0,13000.0,13000.0
Piriya Pattana APMC,2025-09-19,18000.0,18000.0,18000.0
Puttur APMC,2025-11-07,7500.0,22000.0,22000.0
Ramanagara APMC,2026-02-04,28600.0,28400.0,28400.0
Ranebennur APMC,2023-10-08,7000.0,1000.0,1000.0
Sankeshwar APMC,2024-06-11,13000.0,13000.0,13000.0
Santhesargur APMC,2025-02-28,1000.0,1000.0,1000.0
Shikaripura APMC,2023-07-06,10000.0,10000.0,10000.0
Shimoga APMC,2026-02-10,30000.0,3700.0,3700.0
Shimoga(Theertahalli) APMC,2025-09-29,5800.0,5800.0,5800.0
Shimogga(Theertahalli) APMC,2025-07-28,6100.0,6100.0,5700.0
Siddapur APMC,2021-12-24,33609.0,33609.0,33609.0
Sira APMC,2026-02-18,30000.0,33100.0,33100.0
Sirsi APMC,2026-02-23,6677.0,5937.0,5937.0
Somvarpet APMC,2025-10-15,2000.0,12500.0,12500.0
Soundati APMC,2021-02-15,5932.0,5932.0,5932.0
Srirangapattana APMC,2025-10-12,39000.0,19500.0,19500.0
Sulya APMC,2026-02-23,30000.0,32500.0,30000.0
T. Narasipura APMC,2021-11-23,20000.0,20000.0,20000.0
Tarikere APMC,2026-02-24,34500.0,29662.0,33036.0
Tumkur APMC,2026-02-24,32000.0,30000.0,30000.0
Udupi APMC,2026-02-21,28000.0,28000.0,28000.0
Yellapur APMC,2026-02-24,30505.0,31500.0,30000.0
