market,latest_date,latest_price,p7d_ago,p30d_ago,p90d_ago
Badami APMC,2023-04-13,6000.0,4000.0,4000.0,6180.0
Bagalakot APMC,2026-02-25,6184.0,8653.0,4170.0,5173.0
Bagalkot(Bilagi) APMC,2024-09-09,4825.0,6000.0,6000.0,6000.0
Bagepalli APMC,2021-12-02,5235.0,5235.0,5235.0,5235.0
Bailahongal APMC,2025-09-18,8800.0,8800.0,8800.0,8800.0
Bangalore APMC,2025-02-21,5500.0,5500.0,5500.0,4750.0
Basava Kalayana APMC,2024-08-06,6950.0,4950.0,4950.0,16000.0
Bellary APMC,2025-02-24,6428.0,6236.0,5296.0,5713.0
Bijapur APMC,2026-01-28,5300.0,4767.0,4169.0,5350.0
Challakere APMC,2025-02-28,6328.0,6336.0,5319.0,5719.0
Chickkaballapura APMC,2024-11-19,4500.0,5500.0,3900.0,3900.0
Chikkamagalore APMC,2025-08-19,11200.0,5857.0,5857.0,11200.0
Chintamani APMC,2025-11-13,6000.0,3500.0,3500.0,3500.0
Chitradurga APMC,2026-02-23,7708.0,8671.0,7766.0,6362.0
Chittapur APMC,2025-01-02,6250.0,6250.0,6250.0,6250.0
Davangere APMC,2025-12-04,4109.0,5382.0,5379.0,3595.0
Dharwar APMC,2023-03-30,2800.0,7264.0,7264.0,7264.0
Gadag APMC,2025-03-01,4901.0,4490.0,4212.0,5314.0
Gangavathi APMC,2024-10-30,4050.0,4000.0,4000.0,5800.0
Gokak APMC,2021-03-22,9200.0,9200.0,9200.0,9200.0
Gowribidanoor APMC,2023-10-20,4000.0,4000.0,4000.0,4000.0
Gubbi APMC,2023-06-12,5400.0,5600.0,7200.0,7200.0
Gundlupet APMC,2024-10-25,3700.0,3450.0,3400.0,4500.0
H.B. Halli APMC,2023-05-20,6500.0,6200.0,7100.0,5850.0
Haveri APMC,2024-03-31,6305.0,7590.0,7590.0,7590.0
Hiriyur APMC,2026-01-21,4250.0,3756.0,3756.0,5341.0
Hubli (Amaragol) APMC,2026-02-25,5710.0,6190.0,6921.0,6617.0
Hungund APMC,2022-03-15,4900.0,4600.0,5500.0,5500.0
Jagalur APMC,2023-11-18,6799.0,6124.0,6124.0,6124.0
Kadur APMC,2023-09-04,4828.0,2800.0,2800.0,2800.0
Kalburgi APMC,2022-06-20,4200.0,4200.0,4200.0,4200.0
Kolar APMC,2024-09-18,6460.0,6460.0,6460.0,6460.0
Koppal APMC,2025-02-28,5628.0,5025.0,5025.0,3821.0
Kottur APMC,2026-02-24,8776.0,8585.0,7194.0,4660.0
Kumta APMC,2026-02-13,9200.0,4235.0,4235.0,4235.0
Kundagol APMC,2025-01-31,7580.0,6250.0,7700.0,5912.0
Kustagi APMC,2025-03-03,5986.0,5879.0,4000.0,4400.0
Laxmeshwar APMC,2025-02-27,5409.0,5431.0,5431.0,5431.0
Lingasugur APMC,2025-02-25,5350.0,5400.0,4800.0,6600.0
Madhugiri APMC,2025-02-28,5000.0,4454.0,5500.0,5607.0
Mulabagilu APMC,2025-01-31,4600.0,4200.0,4500.0,4500.0
Mundaragi APMC,2024-10-28,4693.0,4870.0,6004.0,6753.0
Mundgod APMC,2024-12-16,7580.0,7840.0,7580.0,7580.0
Mysore (Bandipalya) APMC,2026-02-23,9510.0,9299.0,4859.0,4859.0
Pavagada APMC,2025-01-20,5250.0,5200.0,5600.0,6800.0
Raichur APMC,2026-02-25,9489.0,8279.0,7989.0,4769.0
Ramanagara APMC,2023-12-27,7500.0,7500.0,7500.0,7500.0
Ramdurga APMC,2025-12-29,7148.0,5209.0,5209.0,5476.0
Ranebennur APMC,2023-11-27,5386.0,5767.0,6194.0,3159.0
Rona APMC,2025-02-25,5488.0,5512.0,3906.0,4687.0
Savanur APMC,2026-01-08,6218.0,5491.0,5827.0,4109.0
Shahapur APMC,2024-03-11,6069.0,7049.0,6220.0,6069.0
Shiggauv APMC,2021-05-04,5908.0,5908.0,5908.0,5908.0
Shimoga APMC,2021-04-03,11800.0,11800.0,11800.0,11800.0
Sindhanur APMC,2021-05-18,4933.0,4380.0,4380.0,4933.0
Sira APMC,2026-02-18,5701.0,5319.0,5319.0,5319.0
Sorabha APMC,2024-12-06,4000.0,4000.0,4000.0,4000.0
Soundati APMC,2024-11-20,4450.0,6188.0,6188.0,6188.0
Tarikere APMC,2023-07-01,10000.0,10000.0,10000.0,10000.0
Tumkur APMC,2026-01-29,7100.0,5600.0,5600.0,5400.0
Yadgir APMC,2025-03-01,5689.0,5519.0,5263.0,3600.0
Yalburga APMC,2024-02-27,6550.0,5900.0,5900.0,5900.0
