market,month,median_price
Arakalgud APMC,1,1600.0
Arakalgud APMC,2,1600.0
Arakalgud APMC,3,1600.0
Arakalgud APMC,4,1800.0
Arakalgud APMC,6,2250.0
Arakalgud APMC,7,1600.0
Arakalgud APMC,8,1500.0
Arakalgud APMC,9,1500.0
Arakalgud APMC,10,1600.0
Arakalgud APMC,11,1650.0
Arakalgud APMC,12,1500.0
Bailahongal APMC,2,2000.0
Bangalore APMC,1,3250.0
Bangalore APMC,2,3100.0
Bangalore APMC,4,3150.0
Bangalore APMC,5,3300.0
Bangalore APMC,8,3200.0
Bangalore APMC,10,3100.0
Bangalore APMC,11,3650.0
Bangalore APMC,12,3225.0
Bangarpet APMC,1,2200.0
Bangarpet APMC,2,2145.0
Bangarpet APMC,3,2300.0
Bangarpet APMC,4,2300.0
Bangarpet APMC,5,2060.0
Bangarpet APMC,6,2200.0
Bangarpet APMC,7,2200.0
Bangarpet APMC,8,2100.0
Bangarpet APMC,9,2000.0
Bangarpet APMC,10,2150.0
Bangarpet APMC,11,2200.0
Bangarpet APMC,12,2100.0
Bantwala APMC,1,2250.0
Bantwala APMC,3,2300.0
Bantwala APMC,11,2200.0
Bantwala APMC,12,2250.0
Bellary APMC,1,2594.0
Bellary APMC,2,2854.0
Bellary APMC,3,2408.0
Bellary APMC,4,2099.5
Bellary APMC,5,2265.5
Bellary APMC,12,1930.0
Belthangdi APMC,1,2450.0
Belthangdi APMC,2,2500.0
Belur APMC,1,2170.0
Belur APMC,2,2500.0
Belur APMC,5,2612.5
Belur APMC,6,2500.0
Belur APMC,7,2500.0
Belur APMC,8,2500.0
Belur APMC,9,2500.0
Belur APMC,10,2300.0
Belur APMC,11,2300.0
Belur APMC,12,2350.0
Bhadravathi APMC,1,2500.0
Bhadravathi APMC,2,2575.0
Bhadravathi APMC,3,2500.0
Bhadravathi APMC,4,2445.0
Bhadravathi APMC,5,2452.0
Bhadravathi APMC,6,2577.0
Bhadravathi APMC,7,1950.0
Bhadravathi APMC,8,2725.5
Bhadravathi APMC,9,2632.5
Bhadravathi APMC,10,2540.0
Bhadravathi APMC,11,2543.0
Bhadravathi APMC,12,2456.0
Challakere APMC,1,2277.5
Challakere APMC,2,2467.0
Challakere APMC,5,2538.0
Challakere APMC,6,2449.5
Challakere APMC,7,2525.0
Challakere APMC,8,2802.0
Challakere APMC,12,2263.0
Chamaraj Nagar APMC,1,2300.0
Chamaraj Nagar APMC,2,2000.0
Chamaraj Nagar APMC,4,2800.0
Chamaraj Nagar APMC,5,2000.0
Chamaraj Nagar APMC,6,2000.0
Chamaraj Nagar APMC,8,2000.0
Chamaraj Nagar APMC,9,2000.0
Chamaraj Nagar APMC,10,2025.0
Chamaraj Nagar APMC,11,2000.0
Chamaraj Nagar APMC,12,2322.0
Channagiri APMC,1,2500.0
Channagiri APMC,2,2600.0
Channagiri APMC,11,2405.0
Channagiri APMC,12,2474.5
Channarayapatna APMC,2,2050.0
Channarayapatna APMC,7,2000.0
Channarayapatna APMC,9,2000.0
Channarayapatna APMC,11,2200.0
Chikkamagalore APMC,1,2743.0
Chikkamagalore APMC,2,2700.0
Chikkamagalore APMC,3,2825.0
Chikkamagalore APMC,4,2500.0
Chikkamagalore APMC,5,2505.0
Chikkamagalore APMC,6,2520.0
Chikkamagalore APMC,7,2500.0
Chikkamagalore APMC,8,2450.0
Chikkamagalore APMC,9,3501.0
Chikkamagalore APMC,10,2500.0
Chikkamagalore APMC,11,2500.0
Chikkamagalore APMC,12,2822.5
Chintamani APMC,1,1800.0
Chintamani APMC,2,2700.0
Chintamani APMC,4,2684.0
Chintamani APMC,5,2393.0
Chintamani APMC,6,2800.0
