market,latest_date,latest_price,p7d_ago,p30d_ago
Arakalgud APMC,2023-07-29,2000.0,2200.0,2300.0
Bagepalli APMC,2023-08-20,2040.0,2040.0,2040.0
Bailahongal APMC,2026-02-10,2000.0,2000.0,2000.0
Bangalore APMC,2024-05-23,3250.0,3000.0,3000.0
Bangarpet APMC,2026-02-25,1828.0,2091.0,2081.0
Bantwala APMC,2025-11-28,2200.0,2200.0,2300.0
Basava Kalayana APMC,2021-11-12,1011.0,1011.0,1011.0
Bellary APMC,2025-02-05,1271.0,2094.0,1830.0
Belthangdi APMC,2026-02-25,2400.0,2450.0,2450.0
Belur APMC,2025-02-13,2500.0,2350.0,2140.0
Bhadravathi APMC,2026-02-23,2500.0,2650.0,2400.0
Challakere APMC,2025-02-02,2467.0,2324.0,2040.0
Chamaraj Nagar APMC,2026-02-26,2000.0,2000.0,2000.0
Channagiri APMC,2026-02-07,2800.0,2800.0,2367.0
Channarayapatna APMC,2026-02-03,1900.0,2200.0,2200.0
Chikkamagalore APMC,2026-02-21,2700.0,3000.0,2850.0
Chintamani APMC,2026-02-23,2100.0,2500.0,2450.0
Davangere APMC,2026-02-26,2430.0,2680.0,2641.0
Dharwar APMC,2024-07-29,2450.0,1500.0,1500.0
Doddaballa Pur APMC,2024-09-26,3000.0,3000.0,3000.0
Gadag APMC,2023-05-25,4569.0,821.0,821.0
Gangavathi APMC,2025-02-19,1866.0,1740.0,1666.0
Gonikappal APMC,2025-12-19,2400.0,2350.0,2300.0
Gowribidanoor APMC,2025-06-16,2400.0,2450.0,2450.0
Gubbi APMC,2023-01-25,2800.0,2000.0,2000.0
Gundlupet APMC,2025-11-24,2400.0,2100.0,2100.0
H.B. Halli APMC,2025-12-20,2493.0,2450.0,2460.0
Haliyala APMC,2026-02-26,2300.0,2320.0,2250.0
Hanagal APMC,2025-11-05,2400.0,2400.0,2400.0
Harappana Halli APMC,2025-12-27,2443.0,2443.0,2443.0
Harihara APMC,2024-11-20,2635.0,2800.0,2800.0
Hassan APMC,2026-02-25,2500.0,2400.0,2100.0
Haveri APMC,2025-01-24,2100.0,2275.0,2275.0
Hirekerur APMC,2025-02-28,2400.0,2400.0,2300.0
Hiriyur APMC,2025-01-31,2300.0,2300.0,2300.0
Holalkere APMC,2024-12-04,2000.0,2000.0,2000.0
Holenarsipura APMC,2021-02-15,1200.0,1200.0,1200.0
Honnali APMC,2026-02-21,2829.0,2750.0,4000.0
Hoovinahadagali APMC,2021-02-06,2070.0,2110.0,2070.0
Hospet APMC,2026-01-04,2200.0,2200.0,2160.0
Hubli (Amaragol) APMC,2026-02-25,2400.0,2400.0,2400.0
Huliyar APMC,2022-01-25,1500.0,1400.0,1400.0
Hunsur APMC,2026-02-16,2003.0,2000.0,2200.0
K.R. Pet APMC,2026-02-24,2000.0,2200.0,2500.0
K.R.Nagar APMC,2025-11-18,2600.0,2600.0,2700.0
Kalagategi APMC,2026-02-25,2200.0,2080.0,2000.0
Kalburgi  (Jevargi) APMC,2026-02-12,2250.0,2250.0,2250.0
Kalburgi APMC,2024-02-17,2850.0,1500.0,1500.0
Karkala APMC,2026-02-23,2516.0,2590.0,2516.0
Karwar APMC,2026-02-19,2000.0,2000.0,2000.0
Kolar APMC,2025-02-12,2219.0,2170.0,2170.0
Kollegal APMC,2025-02-14,2800.0,2200.0,2200.0
Koppa APMC,2026-01-30,2500.0,2500.0,2500.0
Koppal APMC,2025-01-19,2548.0,2302.0,2548.0
Kudchi APMC,2025-10-28,2000.0,2000.0,2000.0
Kumta APMC,2026-01-27,2300.0,2370.0,2400.0
Kunigal APMC,2024-07-12,2380.0,2380.0,2380.0
Kustagi APMC,2024-10-20,2271.0,2300.0,2300.0
Lingasugur APMC,2025-02-21,2860.0,2700.0,3130.0
Maddur APMC,2026-02-23,2650.0,2370.0,2700.0
Madhugiri APMC,2026-02-24,1900.0,2000.0,2000.0
Madikeri APMC,2026-01-29,2900.0,2850.0,2980.0
Malavalli APMC,2025-09-09,2300.0,2350.0,2350.0
Mandya APMC,2022-09-13,1730.0,1400.0,1400.0
Moodigere APMC,2026-02-24,2400.0,2400.0,2400.0
Mundgod APMC,2025-12-26,2400.0,2400.0,2500.0
Mysore (Bandipalya) APMC,2026-02-24,2380.0,2079.0,2318.0
Nagamangala APMC,2025-02-21,2100.0,2400.0,2050.0
Nandagada APMC,2024-01-16,2200.0,2100.0,2200.0
Nanjangud APMC,2026-02-24,2600.0,2400.0,2500.0
Nippani APMC,2024-11-14,2500.0,2434.0,2434.0
Pandavapura APMC,2026-02-23,2400.0,2500.0,2300.0
Pavagada APMC,2024-10-28,3100.0,3100.0,3100.0
Piriya Pattana APMC,2025-08-01,2200.0,2200.0,2200.0
Raichur APMC,2026-02-26,2819.0,2879.0,2796.0
Ranebennur APMC,2023-05-24,2000.0,2050.0,2050.0
Sakaleshpura APMC,2025-02-15,2500.0,2298.0,2200.0
Santhesargur APMC,2025-02-28,2500.0,2503.0,2600.0
Shahapur APMC,2026-02-25,2100.0,2050.0,2050.0
Shiggauv APMC,2025-03-01,2100.0,2300.0,2050.0
Shikaripura APMC,2024-10-15,3050.0,2500.0,2500.0
Shimoga APMC,2026-02-18,2500.0,2200.0,2170.0
Shimoga(Theertahalli) APMC,2026-02-24,2414.0,2000.0,2414.0
Shimogga(Theertahalli) APMC,2024-12-19,2350.0,2300.0,2300.0
Sindhanur APMC,2026-02-16,1660.0,1845.0,2065.0
Sira APMC,2025-03-26,2500.0,2500.0,2500.0
Sirsi APMC,2026-02-23,2100.0,2100.0,2300.0
Somvarpet APMC,2026-02-25,2700.0,2300.0,2300.0
Sorabha APMC,2026-02-25,2400.0,2130.0,1900.0
Srirangapattana APMC,2026-02-26,2350.0,2400.0,2150.0
T. Narasipura APMC,2022-12-30,2750.0,2750.0,2450.0
Tarikere APMC,2025-01-22,2000.0,2250.0,2250.0
Tumkur APMC,2026-02-26,2300.0,2400.0,2300.0
Udupi APMC,2026-02-23,2500.0,2500.0,2500.0
Yellapur APMC,2026-01-05,2300.0,2300.0,2300.0
