market,month,median_price
Ahmednagar APMC,1,1000.0
Ahmednagar APMC,2,850.0
Ahmednagar APMC,3,650.0
Ahmednagar APMC,4,600.0
Ahmednagar APMC,5,750.0
Ahmednagar APMC,6,1225.0
Ahmednagar APMC,7,1250.0
Ahmednagar APMC,8,1050.0
Ahmednagar APMC,9,750.0
Ahmednagar APMC,10,1225.0
Ahmednagar APMC,11,1500.0
Ahmednagar APMC,12,1150.0
Akluj APMC,1,1000.0
Akluj APMC,2,800.0
Akluj APMC,3,800.0
Akluj APMC,4,800.0
Akluj APMC,5,800.0
Akluj APMC,6,1200.0
Akluj APMC,7,1300.0
Akluj APMC,8,1000.0
Akluj APMC,9,800.0
Akluj APMC,10,1000.0
Akluj APMC,11,1200.0
Akluj APMC,12,1200.0
Amrawati(Frui & Veg. Market) APMC,1,900.0
Amrawati(Frui & Veg. Market) APMC,2,800.0
Amrawati(Frui & Veg. Market) APMC,3,800.0
Amrawati(Frui & Veg. Market) APMC,4,700.0
Amrawati(Frui & Veg. Market) APMC,5,1000.0
Amrawati(Frui & Veg. Market) APMC,6,1200.0
Amrawati(Frui & Veg. Market) APMC,7,1250.0
Amrawati(Frui & Veg. Market) APMC,8,1500.0
Amrawati(Frui & Veg. Market) APMC,9,1300.0
Amrawati(Frui & Veg. Market) APMC,10,1300.0
Amrawati(Frui & Veg. Market) APMC,11,1100.0
Amrawati(Frui & Veg. Market) APMC,12,900.0
Bhusaval APMC,1,1000.0
Bhusaval APMC,2,1000.0
Bhusaval APMC,3,1000.0
Bhusaval APMC,4,1000.0
Bhusaval APMC,5,1200.0
Bhusaval APMC,6,1400.0
Bhusaval APMC,7,1600.0
Bhusaval APMC,8,1200.0
Bhusaval APMC,9,1200.0
Bhusaval APMC,10,1200.0
Bhusaval APMC,11,1200.0
Bhusaval APMC,12,1200.0
Chandrapur APMC,1,700.0
Chandrapur APMC,2,600.0
Chandrapur APMC,6,600.0
Chandrapur APMC,8,1000.0
Chandrapur(Ganjwad) APMC,1,800.0
