State,District,Block,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AMBEGAON,PUNE,AMBEGAON,,2023-24,1,129,470,53,422,125,214,328,58,52,163,385,11,0,589,594,2,125,475,243,357,168,432,574,26,228,371,468,132
BARAMATI,PUNE,BARAMATI,,2023-24,0,169,431,7,311,282,35,565,0,19,124,457,120,0,480,597,3,130,470,2,598,365,235,598,2,232,368,183,417
BHOR,PUNE,BHOR,,2023-24,0,427,173,57,491,52,18,452,130,61,244,295,0,0,600,598,2,426,172,181,419,330,270,591,9,410,190,558,42
DAUND,PUNE,DAUND,,2023-24,0,268,332,114,274,212,267,312,21,0,172,428,0,0,600,598,2,31,569,0,600,150,450,460,140,286,314,304,296
HAVELI,PUNE,HAVELI,,2023-24,1,277,322,1,444,155,196,403,1,16,175,409,4,0,596,597,3,473,127,241,359,121,477,325,275,93,507,427,173
INDAPUR,PUNE,INDAPUR,,2023-24,0,265,335,84,426,90,290,310,0,0,125,475,0,0,600,599,1,17,583,60,540,43,555,420,180,430,170,117,483
JUNNAR,PUNE,JUNNAR,,2023-24,2,523,695,454,719,47,899,313,8,15,99,1106,0,1,1219,1218,0,228,992,120,1092,279,941,996,224,664,547,330,889
KHED,PUNE,KHED,,2023-24,64,777,559,65,1108,227,724,673,3,201,190,1009,1,0,1399,1399,1,327,1072,406,994,215,1185,1244,153,474,926,498,901
MAVAL,PUNE,MAVAL,,2023-24,8,220,372,105,149,346,92,267,241,54,108,438,8,0,592,593,3,62,538,246,354,105,493,599,1,207,392,418,180
MULSHI,PUNE,MULSHI,,2023-24,0,149,451,155,428,17,172,352,76,104,147,349,0,0,600,595,5,320,280,2,598,21,579,500,100,470,130,440,160
PURANDAR,PUNE,PURANDAR,,2023-24,0,197,543,156,510,74,329,411,0,1,45,694,57,0,683,739,1,163,577,174,566,278,462,684,56,511,229,474,266
SHIRUR,PUNE,SHIRUR,,2023-24,2,210,388,145,387,68,442,98,60,1,48,550,4,0,596,600,0,102,498,11,589,22,578,504,96,421,179,180,420
VELHE,PUNE,VELHE,,2023-24,0,57,543,110,436,54,45,471,84,35,227,338,0,1,599,579,10,480,119,400,200,476,124,599,1,477,122,591,9
AMBEGAON,PUNE,AMBEGAON,,2024-25,3,246,1376,595,991,39,1326,180,119,243,352,1030,18,14,1593,1610,15,388,1237,636,989,866,759,1538,87,1133,492,1576,49
BARAMATI,PUNE,BARAMATI,,2024-25,3,146,2010,307,952,900,1247,869,43,233,610,1316,121,2,2036,2139,20,490,1669,22,2138,205,1954,1871,289,418,1741,447,1713
BHOR,PUNE,BHOR,,2024-25,1,136,1023,319,739,102,556,597,7,63,415,682,0,0,1160,1159,0,161,999,150,1010,365,795,1113,47,378,782,720,440
DAUND,PUNE,DAUND,,2024-25,0,302,1098,453,800,147,1048,352,0,0,102,1298,6,0,1394,1368,32,36,1364,2,1398,118,1282,1186,214,543,857,825,575
HAVELI,PUNE,HAVELI,,2024-25,0,134,796,69,815,46,840,88,2,78,110,742,1,0,929,930,0,93,837,306,624,268,662,810,120,143,787,300,630
INDAPUR,PUNE,INDAPUR,,2024-25,0,30,1470,97,1120,283,970,366,164,38,187,1275,11,1,1488,1499,1,11,1489,0,1499,180,1320,1380,118,471,1029,1181,319
JUNNAR,PUNE,JUNNAR,,2024-25,0,12,1148,82,1057,21,920,239,1,0,2,1158,1,0,1159,1160,0,11,1149,182,978,274,886,1048,112,127,1033,820,340
KHED,PUNE,KHED,,2024-25,2,109,1464,471,1071,33,1493,82,0,479,233,863,6,8,1561,1553,22,244,1331,452,1123,999,576,1325,250,1065,510,1434,141
MAVAL,PUNE,MAVAL,,2024-25,0,109,761,403,462,5,543,325,2,57,320,492,1,0,869,869,0,48,822,150,720,77,793,795,75,333,537,589,281
MULSHI,PUNE,MULSHI,,2024-25,0,211,659,265,504,101,792,78,0,23,32,815,0,3,867,869,1,31,839,381,489,66,804,851,19,433,437,859,11
PURANDAR,PUNE,PURANDAR,,2024-25,0,147,2173,598,1575,147,738,1581,1,95,1017,1208,3,0,2317,2319,1,408,1912,3,2317,1498,822,2249,71,1378,942,1191,1129
