date,temp_max,temp_min,rainfall,temp_avg
2015-01-01,27.9,20.0,1.2,23.95
2015-01-02,27.2,17.7,0.1,22.45
2015-01-03,28.0,16.2,0.0,22.1
2015-01-04,28.7,16.9,0.0,22.799999999999997
2015-01-05,28.6,16.4,0.0,22.5
2015-01-06,27.1,17.3,0.0,22.200000000000003
2015-01-07,29.0,17.8,0.0,23.4
2015-01-08,28.1,17.8,0.0,22.950000000000003
2015-01-09,28.4,17.0,0.0,22.7
2015-01-10,28.9,18.3,0.0,23.6
2015-01-11,28.4,15.6,0.0,22.0
2015-01-12,27.9,14.8,0.0,21.35
2015-01-13,28.1,14.8,0.0,21.450000000000003
2015-01-14,27.8,13.0,0.0,20.4
2015-01-15,28.2,13.8,0.0,21.0
2015-01-16,28.5,15.2,0.0,21.85
2015-01-17,28.0,17.2,0.0,22.6
2015-01-18,29.3,17.8,0.0,23.55
2015-01-19,29.6,17.9,0.0,23.75
2015-01-20,28.8,18.3,0.0,23.55
2015-01-21,28.7,17.7,0.0,23.2
2015-01-22,28.4,17.6,0.0,23.0
2015-01-23,28.9,15.4,0.0,22.15
2015-01-24,27.5,17.6,0.4,22.55
2015-01-25,29.0,18.7,0.0,23.85
2015-01-26,29.1,16.9,0.0,23.0
2015-01-27,29.3,16.7,0.0,23.0
2015-01-28,28.5,17.7,0.0,23.1
2015-01-29,29.8,17.5,0.0,23.65
2015-01-30,28.8,19.0,0.0,23.9
2015-01-31,30.0,18.3,0.0,24.15
2015-02-01,29.8,17.5,0.0,23.65
2015-02-02,29.3,17.7,0.0,23.5
2015-02-03,29.1,16.3,0.0,22.700000000000003
2015-02-04,29.2,16.8,0.0,23.0
2015-02-05,29.6,18.2,0.0,23.9
2015-02-06,30.3,18.5,0.0,24.4
2015-02-07,30.3,17.8,0.0,24.05
2015-02-08,29.3,17.8,0.0,23.55
2015-02-09,30.9,18.1,0.0,24.5
2015-02-10,29.9,17.1,0.0,23.5
2015-02-11,30.3,17.3,0.0,23.8
2015-02-12,30.4,18.5,0.0,24.45
2015-02-13,30.3,17.7,0.0,24.0
2015-02-14,31.6,17.7,0.0,24.65
2015-02-15,31.9,17.5,0.0,24.7
2015-02-16,31.9,18.1,0.0,25.0
2015-02-17,31.6,18.2,0.0,24.9
2015-02-18,31.8,17.7,0.0,24.75
2015-02-19,31.5,19.2,0.0,25.35
2015-02-20,31.5,17.6,0.0,24.55
2015-02-21,31.2,18.0,0.0,24.6
2015-02-22,31.4,17.1,0.0,24.25
2015-02-23,31.3,16.8,0.0,24.05
2015-02-24,31.6,15.3,0.0,23.450000000000003
2015-02-25,31.7,16.4,0.0,24.049999999999997
2015-02-26,32.5,19.5,0.0,26.0
2015-02-27,31.9,19.5,0.0,25.7
2015-02-28,30.9,19.9,0.2,25.4
2015-03-01,30.5,19.1,0.0,24.8
2015-03-02,31.6,19.7,0.1,25.65
2015-03-03,29.8,21.0,1.1,25.4
2015-03-04,30.0,20.4,1.7,25.2
2015-03-05,32.2,19.4,2.1,25.8
2015-03-06,31.0,20.2,6.6,25.6
2015-03-07,30.2,19.8,2.9,25.0
2015-03-08,29.9,20.2,0.3,25.049999999999997
2015-03-09,30.3,19.2,0.0,24.75
2015-03-10,32.2,19.2,0.0,25.700000000000003
2015-03-11,32.4,17.1,0.0,24.75
2015-03-12,32.2,19.4,0.2,25.8
2015-03-13,33.0,19.7,0.0,26.35
2015-03-14,32.9,19.4,0.0,26.15
2015-03-15,32.0,21.1,2.8,26.55
2015-03-16,31.9,21.7,0.4,26.799999999999997
2015-03-17,34.0,21.2,0.0,27.6
2015-03-18,34.2,21.9,0.0,28.05
2015-03-19,34.8,20.4,0.0,27.599999999999998
2015-03-20,35.2,20.0,0.0,27.6
2015-03-21,35.1,20.2,0.0,27.65
2015-03-22,35.8,20.3,0.0,28.049999999999997
2015-03-23,35.4,20.9,0.0,28.15
2015-03-24,35.6,21.9,0.0,28.75
2015-03-25,34.7,20.8,0.0,27.75
2015-03-26,34.6,21.4,0.0,28.0
2015-03-27,34.4,22.1,0.0,28.25
2015-03-28,34.6,20.1,0.0,27.35
2015-03-29,35.1,20.5,0.0,27.8
2015-03-30,34.6,22.0,0.0,28.3
2015-03-31,32.5,22.5,0.0,27.5
2015-04-01,32.1,23.0,1.7,27.55
2015-04-02,32.9,21.5,0.0,27.2
2015-04-03,32.8,22.9,0.8,27.849999999999998
2015-04-04,34.9,21.4,0.0,28.15
2015-04-05,35.4,23.3,0.0,29.35
2015-04-06,33.2,23.4,0.2,28.3
2015-04-07,34.3,23.4,0.0,28.849999999999998
2015-04-08,32.4,23.4,0.2,27.9
2015-04-09,34.2,22.0,0.0,28.1
2015-04-10,33.4,22.7,1.3,28.049999999999997
2015-04-11,30.9,21.9,1.0,26.4
2015-04-12,32.2,22.2,5.1,27.200000000000003
2015-04-13,29.1,20.2,15.7,24.65
2015-04-14,29.5,19.4,8.2,24.45
2015-04-15,28.5,19.3,1.6,23.9
2015-04-16,29.7,20.5,12.1,25.1
2015-04-17,30.5,21.1,0.2,25.8
2015-04-18,29.9,19.8,0.0,24.85
2015-04-19,31.4,20.9,0.0,26.15
2015-04-20,32.5,21.8,0.0,27.15
2015-04-21,32.6,22.4,0.7,27.5
2015-04-22,31.7,21.1,0.0,26.4
2015-04-23,30.7,23.1,8.8,26.9
2015-04-24,31.6,21.8,9.4,26.700000000000003
2015-04-25,30.3,21.2,2.3,25.75
2015-04-26,30.9,21.1,10.1,26.0
2015-04-27,30.7,21.2,0.0,25.95
2015-04-28,31.9,22.7,0.0,27.299999999999997
2015-04-29,33.3,22.7,0.0,28.0
2015-04-30,32.8,22.2,9.8,27.5
2015-05-01,32.6,22.2,0.0,27.4
2015-05-02,30.7,22.7,6.7,26.7
2015-05-03,31.0,22.7,0.8,26.85
2015-05-04,31.4,21.7,1.3,26.549999999999997
2015-05-05,31.4,21.6,0.2,26.5
2015-05-06,30.3,21.6,3.6,25.950000000000003
2015-05-07,30.4,20.8,0.3,25.6
2015-05-08,32.0,21.2,4.4,26.6
2015-05-09,31.3,23.0,5.5,27.15
2015-05-10,31.2,23.3,1.0,27.25
2015-05-11,30.6,22.1,3.4,26.35
2015-05-12,30.0,21.1,0.3,25.55
2015-05-13,28.7,21.8,11.1,25.25
2015-05-14,27.7,21.9,18.8,24.799999999999997
2015-05-15,27.2,21.3,27.5,24.25
2015-05-16,28.2,21.3,24.3,24.75
2015-05-17,28.4,21.3,12.1,24.85
2015-05-18,30.3,21.6,1.5,25.950000000000003
2015-05-19,30.5,21.5,0.9,26.0
2015-05-20,31.2,22.6,0.5,26.9
2015-05-21,31.4,22.5,0.0,26.95
2015-05-22,31.6,22.8,0.8,27.200000000000003
2015-05-23,31.0,22.6,2.7,26.8
2015-05-24,31.7,22.5,0.5,27.1
2015-05-25,31.8,22.3,0.2,27.05
2015-05-26,32.0,21.4,0.0,26.7
2015-05-27,31.0,22.0,2.0,26.5
2015-05-28,30.9,22.1,1.4,26.5
2015-05-29,29.4,23.3,6.2,26.35
2015-05-30,32.1,21.4,6.2,26.75
2015-05-31,32.4,22.8,6.1,27.6
2015-06-01,28.2,21.8,3.0,25.0
2015-06-02,30.1,22.0,3.9,26.05
2015-06-03,30.2,21.9,5.3,26.049999999999997
2015-06-04,28.2,21.6,17.4,24.9
2015-06-05,29.7,21.0,4.5,25.35
2015-06-06,30.3,20.6,0.2,25.450000000000003
2015-06-07,29.1,21.7,0.2,25.4
2015-06-08,28.7,21.9,0.3,25.299999999999997
2015-06-09,28.3,21.8,3.7,25.05
2015-06-10,30.3,22.0,0.0,26.15
2015-06-11,28.4,21.6,15.9,25.0
2015-06-12,28.0,20.8,0.9,24.4
2015-06-13,27.6,21.7,0.1,24.65
2015-06-14,27.2,21.1,1.1,24.15
2015-06-15,27.1,21.2,2.1,24.15
2015-06-16,26.8,21.3,1.2,24.05
2015-06-17,24.1,20.7,3.7,22.4
2015-06-18,24.2,20.4,12.8,22.299999999999997
2015-06-19,25.4,20.8,2.3,23.1
2015-06-20,25.2,21.0,0.8,23.1
2015-06-21,25.7,21.8,5.2,23.75
2015-06-22,25.7,21.4,2.6,23.549999999999997
2015-06-23,26.1,21.3,2.7,23.700000000000003
2015-06-24,26.5,21.6,1.0,24.05
2015-06-25,26.5,21.9,1.5,24.2
2015-06-26,26.5,21.9,2.6,24.2
2015-06-27,27.0,22.2,0.4,24.6
2015-06-28,27.9,22.3,0.5,25.1
2015-06-29,28.0,21.9,1.8,24.95
2015-06-30,28.7,21.7,0.4,25.2
2015-07-01,28.4,21.3,0.1,24.85
2015-07-02,28.1,21.7,0.5,24.9
2015-07-03,29.0,21.1,5.4,25.05
2015-07-04,28.6,21.9,1.2,25.25
2015-07-05,29.0,21.5,0.0,25.25
2015-07-06,29.0,20.7,0.3,24.85
2015-07-07,28.2,20.5,0.4,24.35
2015-07-08,28.1,21.8,0.4,24.950000000000003
2015-07-09,27.5,22.0,7.1,24.75
2015-07-10,26.6,21.7,2.7,24.15
2015-07-11,26.9,21.7,5.5,24.299999999999997
2015-07-12,28.3,21.3,1.4,24.8
2015-07-13,28.8,21.4,0.6,25.1
2015-07-14,28.8,21.4,3.1,25.1
2015-07-15,27.7,21.7,13.0,24.7
2015-07-16,27.1,21.6,2.5,24.35
2015-07-17,26.3,21.8,2.1,24.05
2015-07-18,25.2,21.0,9.5,23.1
2015-07-19,23.9,20.9,18.2,22.4
2015-07-20,25.1,20.6,6.3,22.85
2015-07-21,25.8,21.4,7.3,23.6
2015-07-22,26.4,21.3,13.6,23.85
2015-07-23,26.3,21.3,1.5,23.8
2015-07-24,25.1,20.7,9.0,22.9
2015-07-25,24.3,20.2,7.4,22.25
2015-07-26,24.3,20.5,2.2,22.4
2015-07-27,25.7,20.3,9.8,23.0
2015-07-28,27.8,20.2,4.0,24.0
2015-07-29,27.7,19.0,0.0,23.35
2015-07-30,27.8,19.0,0.0,23.4
2015-07-31,26.9,20.7,6.1,23.799999999999997
2015-08-01,27.7,19.1,9.0,23.4
2015-08-02,26.3,19.9,9.1,23.1
2015-08-03,26.4,19.5,0.1,22.95
2015-08-04,27.5,21.0,3.8,24.25
2015-08-05,26.9,21.2,5.2,24.049999999999997
2015-08-06,26.4,21.4,0.5,23.9
2015-08-07,27.0,21.5,1.2,24.25
2015-08-08,27.4,21.6,1.4,24.5
2015-08-09,27.5,21.6,4.2,24.55
2015-08-10,26.7,21.6,7.2,24.15
2015-08-11,27.1,21.8,2.4,24.450000000000003
2015-08-12,25.1,21.6,5.3,23.35
2015-08-13,26.1,21.4,1.5,23.75
2015-08-14,27.7,21.0,4.4,24.35
